Project Type,Budget Line,Budget Line Title,First Fiscal Year,Fiscal Year 1 Amount,Fiscal Year 2 Amount,Fiscal Year 3 Amount,Fiscal Year 4 Amount,Total Budget $
PV,PV 0N737,MANHATTAN SCHOOL OF MUSIC,2019,20000,0,0,0,20000
SE,SE 0740,"CONSTRUCTION OF SANITARY SEWERS IN ROCKLAND AVENUE, STATEN ISLAND",2019,0,0,0,128146,128146
PV,PV MN038,ATLANTIC THEATER COMPANY,2019,100000,0,0,0,100000
SE,SE 0002X,"CONSTRUCTION & RECONSTRUCTION OF SANITARY & COMBINED SEWERS, BRONX",2019,0,3422938,6589000,1018000,11029938
P ,P  0632,"NEW SWIMMING POOL, STATEN ISLAND",2019,0,50000000,0,0,50000000
PW,PW 0324,PURCHASE OF ELECTRONIC DATA PROCESSING EQUIPMENT FOR DCAS,2019,21555418,3742000,7700000,8642000,41639418
HW,HW 0001Q,"CONSTRUCTION & RECONSTRUCTION OF HIGHWAYS, ETC., QUEENS",2019,1093684,22681000,215000,5876000,29865684
SE,SE 0002,CONSTRUCTION AND RECONSTRUCTION OF SANITARY AND COMBINED SEWERS,2019,0,0,0,5903605,5903605
HB,HB 1090,"RECON OF THE BELT/SHORE PARKWAY BRIDGE OVER NOSTRAND AVE, BROOKLYN",2019,0,0,0,33141000,33141000
HB,HB 1120," RECONSTRUCTION OF 11TH AVE VIADUCT OVER LIRR WEST SIDE YARD, MANHATTA",2019,0,22958514,0,0,22958514
HB,HB 3038,"KANE STREET BRIDGE OVER 278-I (BQE), BROOKLYN",2019,496000,0,15442000,0,15938000
FA,FA 0313,"RECONSTRUCTION OF FERRY VESSELS, STATEN ISLAND TO MANHATTAN SERVICE",2019,0,0,0,0,0
PV,PV Q467,"CONSTRUCTION, IMPROVEMENTS, ACQUISITION, ALL CULTURAL INSTITUTIONS",2019,60000,0,0,0,60000
TF,TF K503,"STREET LIGHTING, BROOKLYN",2019,750000,0,0,0,750000
PV,PV 0471,"BRONX MUSEUM OF THE ARTS, IMPROVEMENTS",2019,0,170000,0,0,170000
HB,HB 4529,"WEST 155TH STREET PEDESTRIAN BRIDGE OVER AMTRAK, MANHATTAN",2019,160000,13977000,0,0,14137000
PV,PV MN143,ELAINE KAUFMAN CULTURAL CENTER,2019,145000,0,0,0,145000
HD,HD 0090,COMPUTER PURCHASES AND UPGRADE,2019,0,0,9727061,10146000,19873061
PO,PO 0005,"SITE ACQUISITION AND CONS FOR A NEW PROPERTY CLERK FACILITY, QUEENS",2019,0,0,305000000,0,305000000
HD,HD 0009,ARTICLE 7A FOR ANTI-ABANDONMENT,2019,0,0,5680058,5412000,11092058
PV,PV 0N394,SOUTH STREET SEAPORT MUSEUM,2019,0,0,38021,0,38021
HW,HW 1674,CONSTRUCT. OR RECONSTRUCT. OF LINDEN PLACE BETWEEN 20TH AVE & 28TH AVE,2019,158383,0,0,0,158383
PV,PV MN991,"AFRO LATIN JAZZ ALLIANCE OF NEW YORK, INC.",2019,54000,0,0,0,54000
PV,PV 0001,LOUIS ARMSTRONG HOUSE,2019,0,136189,0,0,136189
PV,PV MN067,WHITNEY MUSEUM OF AMERICAN ART,2019,100000,0,0,0,100000
HW,HW 0299,"GRADE, PAVE, ETC. RICHMOND HILL ROAD, ETC.",2019,0,2802998,0,0,2802998
C ,C  0075,"CORRECTION FACILITIES, CONSTRUCTION, RECONS & IMPROVEMENTS, CITYWIDE",2019,0,42602511,86802000,119305000,248709511
HD,HD K020,"NEW CONSTRUCTION - LOW AND MODERATE-MIDDLE INCOME PROGRAMS, BROOKLYN",2019,2526000,0,0,0,2526000
PV,PV MN375,SECOND STAGE THEATER,2019,100000,0,0,0,100000
ED,ED 0380,"INDUSTRIAL AND COMMERCIAL DEVELOPMENT, ALL BOROUGHS",2019,4295378,3010000,0,0,7305378
SE,SE 0005,STORM SEWER BEST MANAGEMENT PRACTICE (BMP),2019,0,53822,0,0,53822
PW,PW KN382,SHEMA KOLAINU: HEAR OUR VOICES,2019,1000000,0,0,0,1000000
SE,SE 9336,"COMBINED SEWER, 80TH STREET",2019,0,0,0,0,0
L ,L  I001,"ARCH, ENGINEERING, ADMIN EXPENSES FOR CAPITAL PROJECTS",2019,500000,0,0,0,500000
PV,PV 0N122,"DANCE THEATER OF HARLEM, INC.",2019,0,0,258000,0,258000
P ,P  0936,"CUNNINGHAM PARK, RECONSTRUCTION, QUEENS",2019,599999,0,3000000,400000,3999999
F ,F  0175,"FACILITY IMPROVEMENTS, CITYWIDE",2019,0,38276353,57500000,25000000,120776353
HD,HD 0010,LOW INCOME HOUSING TAX CREDIT (LIHTC) PROJECTS,2019,0,51539184,112150000,104104000,267793184
HD,HD 0201,"ASSISTED LIVING AND SENIOR HOUSING, CITYWIDE",2019,29316510,5000000,5000000,5000000,44316510
HB,HB 1173,"RECON BR OVER CROSS ISLAND PARKWAY AT 115TH AVENUE, QUEENS",2019,0,0,22101000,0,22101000
TF,TF 0002,"TRAFFIC INSTALLATIONS FOR BRIDGE, HIGHWAY & STREET PROJECTS, CITYWIDE",2019,4324175,0,0,0,4324175
P ,P  0938,"EVERGREEN PARK, RECONSTRUCTION, QUEENS",2019,499997,0,0,0,499997
PW,PW Q002,"MASPETH TOWN HALL, QUEENS",2019,1250000,0,0,0,1250000
PV,PV 0501,"P.S.1 (ART INSTITUTE), RECONSTRUCTION AND IMPROVEMENTS",2019,0,0,0,116000,116000
LN,LN X001,"CONSTRUCTION, SITE AQUISITION AND F&E TO BRANCH LIBRARIES, THE BRONX",2019,750000,0,0,0,750000
HL,HL 0083,"IMPROVEMENTS TO MEDICAL EXAMINER FACILITIES, CITYWIDE",2019,0,7210744,10869000,2980000,21059744
HW,HW 0972,"RECONSTRUCTION OF BAYVIEW AVENUE, ETC., BROOKLYN",2019,0,181999,0,0,181999
SE,SE 0002Q,"CONSTRUCTION AND RECONSTRUCTION OF SANITARY AND COMBINED SEWERS, QNS.",2019,0,62442803,139517000,135791000,337750803
E ,E  2500,"SCHOOL FACILIITIES CAPITAL, HURRICANE SANDY & NOR'EASTER",2019,0,0,0,0,0
HO,HO 0410,"EMERGENCY MEDICAL SERVICES, EQUIPMENT",2019,0,23992931,33075000,59220000,116287931
HB,HB 0215,"IMPROVEMENTS TO HIGHWAY BRIDGES & STRUCTURES, CITYWIDE.",2019,0,90854680,245129000,410872000,746855680
HO,HO M002,"PURCHASE OF EQUIPMENT HHC, MANHATTAN",2019,191000,0,0,0,191000
PV,PV MN222,JOYCE THEATER,2019,40000,0,0,0,40000
HN,HN Q004,"COMMUNITY COLLEGES' IMPROVEMENTS, QUEENS",2019,2000000,0,0,0,2000000
SE,SE 0004,HIGH LEVEL STORM SEWERS,2019,49369378,1000000,14000000,15998000,80367378
HB,HB 0278,"BQE (278-I) FROM SANDS STREET TO ATLANTIC AVENUE, BROOKLYN",2019,0,533163000,535271000,479193000,1547627000
WP,WP 0282,"ENG., ARCH., ADMIN. AND OTHER COSTS, DEPT. OF WATER RESOURCES",2019,1,0,0,0,1
PW,PW 0077,"PUBLIC BUILDINGS & OTHER CITY PURPOSES, CITYWIDE",2019,68962440,89808000,108047000,38771000,305588440
HW,HW 0001M,"CONSTRUCTION & RECONSTRUCTION OF HIGHWAYS ETC., MANHATTAN",2019,2625474,28328000,57376000,17130000,105459474
P ,P  M245,"MISCELLANEOUS PARKS, PLAYGROUNDS, CONSTRUCTION, RECONSTRUCTION, MAN.",2019,1065000,4750000,0,0,5815000
TF,TF 0001,"INSTALLATION OF STREET-SURFACE MARKINGS AND TRAFFIC SIGNALS, ALL BOROS",2019,3905357,12369000,10500000,12529000,39303357
P ,P  0819,"MCCARREN PARK, RENOVATION AND IMPROVEMENTS",2019,846129,4590000,664000,0,6100129
TF,TF 0003,PARKING METERS,2019,0,0,0,0,0
HW,HW 1148,"RECONSTRUCT JEWEL STREET AREA, BROOKLYN",2019,0,0,0,0,0
LQ,LQ I001,"ARCH, ENGINEERING, ADMIN EXPENSES FOR CAPITAL PROJECTS",2019,500000,0,0,0,500000
PO,PO R185,"VEHICLES OF AT LEAST $35,000 AFTER NOVEMBER 1, 1999, STATEN ISLAND",2019,500000,0,0,0,500000
CO,CO 0295,1118 GRAND CONCOURSE - BRONX HOUSING COURT,2019,0,0,7061000,0,7061000
PW,PW 0325,"210 JORALEMON STREET, BROOKLYN",2019,2101142,0,0,0,2101142
WP,WP 0169,"COMBINED SEWER OVERFLOW ABATEMENT FACILITIES, CITYWIDE",2019,291772484,443072000,390319000,306474000,1431637484
P ,P  0931,"COMMUNICATION SYSTEM DEVELOPMENT, CITY-WIDE",2019,199667,163000,166000,169000,697667
PO,PO 0163,ACQUISITION AND INSTALLATION OF COMPUTER EQUIPMENT,2019,30719139,26647000,10913000,21582000,89861139
HB,HB 1120," RECONSTRUCTION OF 11TH AVE VIADUCT OVER LIRR WEST SIDE YARD, MANHATTA",2019,0,76576000,0,0,76576000
P ,P  0245K,"MISCELLANEOUS PARKS, PLAYGROUNDS, CONSTRUCTION, RECONSTRUCTION, BRKLYN",2019,0,2697297,0,0,2697297
W ,W  0010,CITY TUNNEL NO. 3 STAGE 1,2019,0,0,0,0,0
LN,LN M001,"CON, RECON, IMPVTS, ACQ, OUTFIT AND EQUIP, BRANCH LIBRARIES, MANHATTAN",2019,250000,0,0,0,250000
WP,WP 0112,RECONSTRUCTION OF WATER POLLUTION CONTROL PROJECTS,2019,23907958,608009000,539870000,479004000,1650790958
PO,PO 0127,HELICOPTERS,2019,0,16500472,0,0,16500472
HL,HL QN916,THE FLOATING HOSPITAL,2019,52000,0,0,0,52000
E ,E  2364,E-2364 SIXTH FIVE-YEAR EDUCATIONAL FACILITIES CAPITAL PLAN,2019,3468397787,1970569000,1296489000,2165569000,8901024787
HB,HB 7055,"167TH STREET PEDESTRIAN BRIDGE OVER LIRR, QUEENS",2019,149000,0,10342000,0,10491000
E ,E  X001,"BRONX BOROUGH PRESIDENT, SECTION 211 & 249 ADDITIONS",2019,11251000,0,0,0,11251000
HD,HD 0222,SUPPORTIVE HOUSING,2019,0,0,1765416,27000000,28765416
HN,HN R001,"SITE ACQUISITION, CONSTRUCTION, RECONSTRUCTION, IMPROVEMENTS, COMPREHE",2019,300000,0,0,9000,309000
HL,HL KN201,NEW YORK BLOOD CENTER,2019,300000,0,0,0,300000
HB,HB 0548,"RECONST & STRUCT REHAB BDGE AT 21ST AVE, BROOKLYN",2019,0,6207000,38724000,56338000,101269000
HW,HW 0001,"CONSTRUCTION, RECONSTRUCTION OF HIGHWAYS, RESURFACING OF STREETS",2019,544000,0,0,0,544000
P ,P  Q245,"MISCELLANEOUS PARKS, PLAYGROUNDS, CONSTRUCTION, RECONSTRUCTION, QUEENS",2019,18976000,0,3225000,0,22201000
HD,HD 0207,"HUD MULTI-FAMILY PROGRAM, CITYWIDE",2019,79241284,36788000,34743000,32019000,182791284
PW,PW 0195,"RECONSTRUCTION OF 80 CENTRE STREET, MANHATTAN",2019,0,0,2704860,0,2704860
HW,HW 0944,"PRIVATE PORTION FOR HIGHWAY PROJECTS, CITYWIDE",2019,0,0,0,0,0
CO,CO 0293,851 GRAND CONCOURSE - BRONX SUPREME COURT BUILDING,2019,0,41187889,13102000,11955000,66244889
S ,S  0216,"CONSTRUCTION, RECONSTRUCTION MARINE TRANSFER STATIONS",2019,19694100,144000,50970000,0,70808100
PV,PV 0N831,"GINA GIBNEY DANCE, INC.",2019,35000,0,0,0,35000
BR,BR 0287,RECONSTRUCTION: MACOMBS DAM BRIDGE OVER HARLEM RIVER,2019,6414931,1566000,0,0,7980931
PV,PV M101,"MUSEUM OF JEWISH HERITAGE, IMPROVEMENTS",2019,100000,0,0,0,100000
P ,P  0822,"STREET AND PARK TREE PLANTING, CITYWIDE",2019,0,73977241,43535000,6778000,124290241
HB,HB 1189,"RECONSTRUCT W 79TH ST/79TH ST BOAT BASIN 30TH ST BRANCH, MANHATTAN",2019,2392630,20077000,0,0,22469630
PO,PO 0185,"VEHICLES OF AT LEAST $35,000 AFTER NOVEMBER 1, 1999",2019,14914874,8263000,6426000,11154000,40757874
C ,C  0112,PURCHASE OF EQUIPMENT FOR USE BY THE DEPT. OF CORRECTION,2019,6715367,4277000,3761000,3599000,18352367
P ,P  0507,DREIER OFFERMAN PARK DEVELOPMENT,2019,5734712,0,0,0,5734712
P ,P  1246,HUDSON RIVER TRUST,2019,49400000,4700000,0,25000000,79100000
BR,BR 0270,REHABILITATION OF BROOKLYN BRIDGE,2019,284550340,16222000,0,15000000,315772340
ED,ED 0831,TRUST FOR GOVERNORS ISLAND,2019,3039000,0,0,0,3039000
HB,HB 6672,"EAST 174TH STREET BRIDGE OVER THE SHERIDAN EXPRESSWAY, THE BRONX",2019,1955000,0,126484000,0,128439000
HB,HB 7003,"EAST 156TH STREET BRIDGE OVER ACCESS TO HOUSING, THE BRONX",2019,1200000,0,0,57500000,58700000
PV,PV M022,"METROPOLITAN MUSEUM OF ART, IMPROVEMENTS",2019,100000,0,0,0,100000
TF,TF 0002,"TRAFFIC INSTALLATIONS FOR BRIDGE, HIGHWAY & STREET PROJECTS, CITYWIDE",2019,2466657,1944000,402000,187000,4999657
PV,PV X205,"NEW YORK BOTANICAL GARDENS, IMPROVEMENTS, BRONX",2019,500000,0,0,0,500000
EP,EP 0005,PURCHASE OF ELECTRONIC DATA PROCESSING EQUIP. FOR D.E.P.,2019,19220379,30392000,44395000,45000000,139007379
HB,HB 4174,"EAST 175TH STREET BRIDGE OVER METRO NORTH RAIL ROAD, THE BRONX",2019,10056000,28400000,0,0,38456000
PV,PV 0N219,MANHATTAN CLASS COMPANY INC.,2019,551402,0,0,0,551402
CO,CO 0278,360 ADAMS ST. - BROOKLYN  SUPREME COURT,2019,0,0,16077536,0,16077536
HB,HB 0530,"RECONST & STRUCT REHAB R.R. BDGE PARKSIDE & OCEAN AVE, BROOKLYN",2019,0,50545999,85000,0,50630999
PV,PV KN072,BROOKLYN HISTORICAL SOCIETY,2019,53000,0,0,0,53000
HD,HD 0213,MIXED INCOME RENTAL - LOW,2019,141165624,100528000,110599000,96778000,449070624
CO,CO 0276,100 RICHMOND TERR. - STATEN ISLAND FAMILY COURT,2019,0,0,2462780,0,2462780
TF,TF 0502,"STREET LIGHTING DRAW DOWN, CITYWIDE",2019,6052528,1905000,212000,0,8169528
HL,HL KN916,THE FLOATING HOSPITAL,2019,52000,0,0,0,52000
CS,CS 0002,"IMPROVEMENTS OF STRUCTURES FOR FACILITIES, ACS, CITYWIDE",2019,0,0,0,9737675,9737675
HW,HW 0001K,"CONSTRUCTION & RECONSTRUCTION OF HIGHWAYS, ETC., BROOKLYN",2019,7074814,51735000,116595000,23967000,199371814
HW,HW 0349,REPAVING & RESURFACING STREETS- INHOUSE FORCES,2019,17875198,0,0,0,17875198
PV,PV MN291,NEW MUSEUM,2019,38000,0,0,0,38000
LQ,LQ Q122,"CON, RECON, IMPVTS, ACQ, OUTFIT AND EQUIP, BRANCH LIBRARIES, QNS",2019,2000000,0,0,0,2000000
PV,PV MN204,JAZZ AT LINCOLN CENTER,2019,100000,0,0,0,100000
HR,HR 0120,COMPUTER EQUIPMENT,2019,18644527,16938000,0,2867000,38449527
HB,HB 1086,"WESTCHESTER AVE/HUTCHINSON RIVER PKWY BRIDGE, BIN 2-07583-7, THE BRONX",2019,786059,5968000,2100000,0,8854059
WM,WM 0105,"WATER SUPPLY IMPROVEMENTS, CITYWIDE",2019,0,0,0,0,0
P ,P  1018,"PARK IMPROVEMENTS, ALL BOROUGHS.",2019,239251817,473380000,383373000,112868000,1208872817
HL,HL 0082,"IMPROVEMENTS TO HEALTH FACILITIES, CITYWIDE",2019,2006466,967000,1800000,1740000,6513466
SE,SE 0750,"CONSTRUCTION AND RECONSTRUCTION OF CATCH BASINS, CITYWIDE",2019,0,0,0,0,0
PW,PW 0326,"IMPROVEMENTS TO LONG TERM LEASED FACILITIES, CITYWIDE.",2019,102835072,41376000,10000000,45723000,199934072
SE,SE 0750,"CONSTRUCTION AND RECONSTRUCTION OF CATCH BASINS, CITYWIDE",2019,4225238,500000,500000,0,5225238
P ,P  1018,"PARK IMPROVEMENTS, ALL BOROUGHS.",2019,0,0,7454638,0,7454638
HW,HW 1684,"CONSTRUCTION OF STREETS, MALLS, SQUARES, TRIANGLES, PLANYC",2019,0,0,372302,8396000,8768302
BR,BR 0231,"QUEENSBORO BRIDGE, REHABILITATION",2019,73192052,48486000,0,0,121678052
PV,PV MN960,"JAPAN SOCIETY, INC.",2019,100000,0,0,0,100000
HW,HW 0919,"RECONSTRUCTION OF BLOOMINGDALE ROAD, STATEN ISLAND",2019,346293,33717000,0,0,34063293
PV,PV MN394,SOUTH STREET SEAPORT MUSEUM,2019,250000,0,0,0,250000
HL,HL DN843,"BRONX AIDS SERVICES, INC",2020,1000000,0,0,0,1000000
HH,HH 0112,CONGREGATE FACILITIES FOR HOMELESS SINGLE ADULTS,2019,76903617,85350000,37976000,19424000,219653617
WP,WP 0112,RECONSTRUCTION OF WATER POLLUTION CONTROL PROJECTS,2019,9242000,26604000,0,4500000,40346000
HB,HB 1189,"RECONSTRUCT W 79TH ST/79TH ST BOAT BASIN 30TH ST BRANCH, MANHATTAN",2019,29369000,0,0,0,29369000
HB,HB 0644,"RECONSTRUCTION OF BRIDGE, MADISON AVE. OVER HARLEM RIVER DRIVE",2019,2310509,340000,0,0,2650509
WM,WM 0011,THE CONSTRUCTION OF CROTON FILTRATION PLANT AND ANCILLARY WORK,2019,0,0,0,0,0
HN,HN K300,"CONSTRUCTION AND IMPROVEMENTS TO CUNY SENIOR COLLEGE BLDGS, BROOKLYN",2019,400000,0,0,0,400000
HW,HW 0788,"RECONSTRUCTION OF 11TH STREET, QUEENS",2019,0,1920000,0,0,1920000
HW,HW 0675,"RECON EAST FORDHAM ROAD, WEBSTER AVE TO 3RD AVE, ETC., THE BRONX",2019,0,0,0,349,349
P ,P  1249,"CONSTRUCTION & RECONSTRUCTION OF ROOFING SYSTEMS, CITYWIDE",2019,0,651923,1454000,1483000,3588923
PV,PV MN279,MUSEUM OF CHINESE IN AMERICA CENTRE STREET LOCATION,2019,100000,0,0,0,100000
HB,HB 1205,"RECONSTRUCT 5TH AVENUE BRIDGE OVER LIRR AND SEA BEACH, BROOKLYN",2019,0,34475088,0,0,34475088
HL,HL K001,"IMPROVEMENTS TO DEPARTMENT OF HEALTH BUILDINGS, BROOKLYN",2019,174998,0,0,0,174998
CS,CS 0005,"ACQUISITION AND CONSTRUCTION FOR YOUTH AND FAMILY JUSTICE, CITYWIDE",2019,0,42847477,2336000,0,45183477
HL,HL XN735,"UNION COMMUNITY HEALTH CENTER, INC.",2019,144000,0,0,0,144000
ED,ED 0075,"ACQUISITION, SITE DEVELOPMENT, CONSTRUCTION & RECONSTRUCTION, CITYWIDE",2019,653825,0,0,0,653825
HW,HW 0724,"RECONSTRUCTION OF BROOKVILLE BOULEVARD, QUEENS",2019,0,1713400,0,0,1713400
HW,HW 0200,SIDEWALK CONSTRUCTION,2019,169264516,163549000,154010000,141483000,628306516
P ,P  0060,SOUNDVIEW PARK DEVELOPMENT,2019,11133,0,0,0,11133
SE,SE 0758,"GUNITING OF SEWERS, CITYWIDE",2019,0,0,0,0,0
HW,HW 0001,"CONSTRUCTION, RECONSTRUCTION OF HIGHWAYS, RESURFACING OF STREETS",2019,0,0,600000,5434000,6034000
W ,W  0010,CITY TUNNEL NO. 3 STAGE 1,2019,0,0,0,127766416,127766416
PV,PV 0205,"NEW YORK BOTANICAL GARDENS, IMPROVEMENTS",2019,0,0,0,0,0
PO,PO 0079,"IMPROVEMENTS TO POLICE DEPARTMENT PROPERTY, CITYWIDE",2019,76015004,283967000,14500000,13000000,387482004
SE,SE 0005,STORM SEWER BEST MANAGEMENT PRACTICE (BMP),2019,13506422,27831000,0,2000000,43337422
SE,SE 0362,"SANITARY SEWERS IN WILLOWBROOK ROAD, ETC.",2019,0,0,0,2743997,2743997
HD,HD M169,"CONS,RECO,IMPRV,SITE WK TO RESIDENTIAL & COMMERCIAL PROP, MANHATTAN",2019,1804000,0,0,0,1804000
PW,PW 0357,"253 BROADWAY, MANHATTAN",2019,0,10951591,2466000,0,13417591
C ,C  0136,CORRECTION INDUSTRIES FACILITIES AND SUPPORT,2019,464000,0,0,0,464000
SE,SE 0001,PROFESSIONAL SERVICES FOR SANITARY AND COMBINED DRAINAGE PLAN PREP.,2019,0,0,0,0,0
HD,HD 0110,"PARTICIPATION LOAN PROGRAM (PLP), REHAB",2019,96626829,94668000,136764000,133451000,461509829
PV,PV K236,"BROOKLYN BOTANIC GARDEN, IMPROVEMENTS",2019,1000000,0,0,0,1000000
PV,PV MN290,NEW 42ND STREET INC.,2019,150000,0,0,0,150000
HB,HB 4939,CEDARVIEW AVENUE PEDESTRIAN BRIDGE OVER SIRT SOUTH SHORE,2019,8823000,8823000,0,0,17646000
HO,HO X002,"PURCHASE OF EQUIPMENT FOR HHC, THE BRONX",2019,1380000,0,0,0,1380000
HO,HO Q378,ELMHURST HOSPITAL CENTER,2019,1500000,0,0,0,1500000
FA,FA 0021,"FERRY BOATS, TERMINALS, FLOATING EQUIPMENT AND RELATED ITEMS",2019,4473579,63676000,63151000,26183000,157483579
P ,P  1141,"GRAND ARMY PLAZA RECONSTRUCTION, BROOKLYN",2019,930000,8065000,0,0,8995000
EP,EP 0007,"MANDATED PAYMENTS FOR PRIVATE GAS UTILITY RELOCATION, DEP, CITYWIDE",2019,0,0,0,0,0
HW,HW 1132,"RECONSTRUCTION OF MCLEAN AVENUE, STATEN ISLAND",2019,731009,860000,0,0,1591009
HW,HW 0200,SIDEWALK CONSTRUCTION,2019,0,0,190040,34000,224040
SE,SE 0002R,"CONST. & RECONST. OF SANITARY & COMBINED SEWERS, STATEN ISLAND",2019,2022750,22191000,40150000,17624000,81987750
P ,P  0715,"ORCHARD BEACH, EXPANSION",2019,0,18083985,2070000,0,20153985
C ,C  0114,"ACQUISITION, CONSTR., ETC. SUPPLEMENTARY HOUS. PROG. AND SUPPORT FACIL",2019,0,82516760,0,0,82516760
TF,TF 0777,"BUS RAPID TRANSIT, CITYWIDE",2019,0,0,0,0,0
HD,HD 0217,NEIGHBORHOOD HOUSING SERVICES LOAN PROGRAM (NHS),2019,0,32000,0,0,32000
PV,PV 0205,"NEW YORK BOTANICAL GARDENS, IMPROVEMENTS",2019,2000000,0,0,0,2000000
HD,HD 0005,MULTIFAMILY PRESERVATION LOAN PROGRAM,2019,0,182391,19919000,13747000,33848391
HR,HR MN653,HENRY STREET SETTLEMENT,2019,80000,0,0,0,80000
PW,PW MN331,POLICE ATHLETIC LEAGUE (PAL),2019,46000,0,0,0,46000
P ,P  0933,PURCHASE OF EQUIPMENT FOR USE BY THE DEPT. OF PARKS AND RECREATION,2019,31031473,4871000,4870000,15988000,56760473
WM,WM 0105,"WATER SUPPLY IMPROVEMENTS, CITYWIDE",2019,43233091,59013000,51000000,11000000,164246091
HB,HB 1013,"PURCHASE OF EQUIPMENT FOR BRIDGES, CITYWIDE",2019,0,0,1702224,1017000,2719224
SE,SE 0362,"SANITARY SEWERS IN WILLOWBROOK ROAD, ETC.",2019,0,0,0,0,0
HB,HB 1028,"BRIDGE REHABILITATION, E. 14TH STREET, ETC., BROOKLYN",2019,0,0,16951000,0,16951000
WM,WM 0103,"ARCH., ADMIN. & OTHER COSTS, DEPARTMENT OF ENVIR. PROT (WATER MAINS)",2019,6500000,0,0,0,6500000
HW,HW 0001X,"HIGHWAY REPAVING, BRONX",2019,0,39841667,16994000,66506000,123341667
PW,PW 0266,"125 WORTH STREET, MANHATTAN",2019,0,0,697331,0,697331
PV,PV MN123,"NEW YORK LIVE ARTS, INC. (FORMERLY DANCE THEATER WORKSHOP)",2019,150000,0,0,0,150000
PV,PV MN132,DOWNTOWN COMMUNITY TELEVISION CENTER (DCTV),2019,150000,0,0,0,150000
PW,PW XN063,BRONX OVERALL ECONOMIC DEVELOPMENT CORPORATION,2019,200000,0,0,0,200000
PW,PW 0293,"LOCAL LAW 5 IMPROVEMENTS, CITYWIDE",2019,43385297,50063000,93956000,12572000,199976297
P ,P  0056,ACQUISITION OF PROPERTY FOR PLAYGROUNDS AND PARKS,2019,0,4107000,1770000,1770000,7647000
PV,PV R302,"STATEN ISLAND INSTITUTE OF ARTS AND SCIENCES, IMPROVEMENTS",2019,12000,0,0,0,12000
HN,HN X002,"COMMUNITY COLLEGES IMPROVEMENTS, BRONX",2019,1750000,0,0,0,1750000
WM,WM 0006,TRUNK MAIN EXTENSIONS AND IMPROVEMENTS TO PUMPING STATIONS & BLDGS.,2019,0,0,0,92512516,92512516
T ,T  0131,"MISCELLANEOUS RECONSTRUCTION TO LINES UNDER OPERATION, CITY WIDE",2019,0,35000000,35000000,35000000,105000000
PV,PV 0274,"HALL OF SCIENCE, FLUSHING MEADOW PARK, ADDITIONS, BETTERMENTS",2019,0,210777,800000,0,1010777
ED,ED 0319,BROOKLYN NAVY YARD,2019,0,0,30563248,30721000,61284248
HW,HW 0876,"RECONSTRUCTION OF WYCKOFF AVENUE, BROOKLYN",2019,1924574,0,0,0,1924574
CS,CS 0003,"IMPROVEMENTS OF STRUCTURES FOR  ACS, CITYWIDE",2019,4749693,0,1000000,2777000,8526693
HB,HB 1164,"RECON CITY ISLAND ROAD OVER EASTCHESTER BAY, THE BRONX",2019,174209,484000,0,0,658209
PV,PV M475,"NEW YORK STATE THEATER ALTERATIONS AND IMPROVEMENTS, MANHATTAN",2019,100000,0,0,0,100000
PV,PV KN028,ISSUE PROJECT ROOM,2019,455000,0,0,0,455000
P ,P  0245R,"MISCELLANEOUS PARKS, PLAYGROUNDS, CONSTRUCTION, RECONSTRUCTION, S.I.",2019,0,0,0,0,0
EP,EP 0004,PURCHASE OF EQUIPMENT FOR USE BY THE DEPT. OF ENVIRONMENTAL PROTECTION,2019,0,10565920,5831000,7183000,23579920
W ,W  0014,KENSICO - CITY TUNNEL,2019,50488032,4000000,99000000,683000000,836488032
HB,HB 1023,"BRIDGE REHABILITATION, MILL BASIN BRIDGE,ETC., BROOKLYN",2019,0,5579051,0,0,5579051
HB,HB 1148,"RECON SHORE ROAD/HUTCHINSON RIVER PKWY, THE BRONX",2019,0,41564743,145659000,0,187223743
HR,HR K001,"ACQUIS CON RECON & IMPROVE TO HRA FACILITIES, BKLYN",2019,2200000,0,0,0,2200000
HL,HL KN168,THE BROOKDALE HOSPITAL MEDICAL CENTER,2019,339000,0,0,0,339000
P ,P  1250,"RECONSTRUCTION/REPLACEMENT OF BOILERS, CITYWIDE",2019,0,276317,10077000,10077000,20430317
PV,PV K262,"BROOKLYN CHILDREN'S MUSEUM, IMPROVEMENTS",2019,250000,0,0,0,250000
TF,TF K005,"TRAFFIC IMPROVEMENTS, BROOKLYN",2019,1000000,0,0,0,1000000
EP,EP 0010,"INSTALLATION OF WATER MEASURING DEVICES, CITYWIDE",2019,718000,0,0,0,718000
HA,HA M001,"HOUSING AUTHORITY BOROUGH PRESIDENT CAPITAL SUBSIDIES, MANHATTAN",2019,400000,0,0,0,400000
F ,F  0001,"FIRE ALARM COMMUNICATION SYSTEM, CITYWIDE",2019,3603991,2400000,3702000,7692000,17397991
CO,CO 0304,60 CENTRE ST. - MANHATTAN SUPREME COURT BUILDING,2019,0,9950738,16365000,26462000,52777738
HD,HD 0212,LOW INCOME RENTAL PROGRAM,2019,17486329,175100000,193320000,173374000,559280329
PV,PV 0N860,JACQUES MARCHAIS MUSEUM OF TIBETAN ART,2019,0,63000,0,0,63000
PV,PV 0230,"NEW YORK AQUARIUM, IMPROVEMENTS",2019,0,0,0,0,0
LN,LN R001,"CONSTRUCTION, SITE AQUISITION AND F&E TO BRANCH LIBRARIES, S.I.",2019,800000,0,0,0,800000
